gene	oe_lof_upper	interaction
SEC23IP	0.514	cis
SEC24B	0.194	trans-intra
SEC24D	0.584	trans-intra
SEC31A	0.439	trans-intra
SEC31B	1.05	cis_intra
SEC61A1	0.295	cis
SEC61A2	0.558	cis
SEC62	0.297	trans-inter
SEC63	0.57	cis_inter_intra
SECISBP2	1.028	cis
SECISBP2L	0.374	cis_intra
SECTM1	1.032	cis_inter
SEH1L	0.507	cis
SEL1L	0.303	cis_intra
SEL1L3	0.415	cis_inter_intra
SELL	1.01	cis
SELP	1.319	cis_intra
SELPLG	1.631	cis
SEMA3C	0.516	cis_intra
SEMA4A	0.641	cis_intra
SEMA4B	0.533	cis_inter_intra
SEMA4D	0.314	cis_inter_intra
SEMA4F	0.919	cis_intra
SEMA4G	0.756	cis
SEMA6A	0.221	cis_intra
SEMA6C	0.635	cis
SEMA7A	0.441	cis_intra
SEMG1	1.028	cis
SENP1	0.285	cis_intra
SENP3	0.363	cis
SENP5	0.191	cis_inter
SENP6	0.215	cis_intra
SENP7	0.379	cis_intra
SEPHS1	0.298	cis
SEPSECS	0.989	cis_intra
SEPT1	0.968	cis
SEPT1	1.084	cis
SEPT10	1.169	cis
SEPT11	0.334	cis_intra
SEPT12	1.881	cis
SEPT2	0.496	cis_inter
SEPT3	0.543	trans-intra
SEPT4	0.68	cis_intra
SEPT5	0.36	cis
SEPT6	0.363	cis
SEPT7	0.188	cis_intra
SEPT8	0.548	cis
SEPT9	0.252	cis_inter_intra
SERAC1	0.626	cis_inter_intra
SERBP1	0.181	trans-intra
SERF2	1.414	cis
SERGEF	1.274	cis_inter_intra
SERHL2	1.952	cis
SERINC1	0.608	cis_intra
SERINC2	1.248	cis
SERINC3	0.406	cis
SERINC5	0.765	cis_inter_intra
SERPINA1	1.626	cis_intra
SERPINA12	1.501	cis
SERPINB1	1.489	cis_intra
SERPINB10	1.468	cis
SERPINB2	1.53	trans-intra
SERPINB6	1.115	cis
SERPINB8	1.413	cis_intra
SERPINB9	0.879	cis_intra
SERPINC1	0.151	cis_intra
SERPIND1	1.497	cis
SERPINE2	0.445	cis
SERPINE3	1.116	cis
SERPINF1	1.214	cis_intra
SERPINF2	0.627	cis
SERPING1	0.322	cis
SERPINI1	0.644	cis_intra
SERTAD2	0.432	cis_inter_intra
SERTAD3	1.528	cis
SESN1	0.658	cis_intra
SESN2	0.906	cis
SESN3	0.409	cis_intra
SESTD1	0.265	cis_intra
SETBP1	0.11	cis_inter_intra
SETD1A	0.136	cis
SETD1B	0.151	cis
SETD2	0.206	cis_inter
SETD3	0.508	cis_inter_intra
SETD4	1.246	cis_inter_intra
SETD5	0.227	cis_intra
SETD7	0.737	trans-intra
SETD9	0.962	cis
SETDB1	0.201	cis_inter
SETDB2	0.59	cis
SETMAR	1.13	cis
SETX	0.296	cis
SEZ6	0.587	trans-intra
SEZ6L	0.371	cis_inter_intra
SEZ6L2	0.421	trans-inter
SF3A2	0.399	cis
SF3A3	0.119	cis_inter_intra
SF3B2	0.222	cis_inter_intra
SF3B3	0.178	cis_inter
SF3B5	1.074	cis
SFI1	1.014	cis_inter_intra
SFMBT1	0.324	cis_inter
SFMBT2	0.252	cis_inter_intra
SFR1	1.811	cis
SFRP1	0.288	cis_intra
SFRP2	1.058	cis
SFRP4	0.948	inter_intra
SFSWAP	0.168	cis_intra
SFT2D1	1.065	cis_intra
SFT2D2	0.9	cis
SFTPB	0.72	cis
SFTPC	1.252	trans-intra
SFTPD	0.979	cis
SFXN1	0.788	cis_intra
SFXN2	0.778	cis
SFXN3	1.191	cis
SFXN4	0.912	cis_intra
SFXN5	0.769	trans-intra
SGCA	0.789	cis
SGCE	0.537	cis_intra
SGIP1	0.195	cis_inter_intra
SGK1	0.577	cis_intra
SGK2	1.236	cis_intra
SGK3	0.761	trans-intra
SGMS1	0.346	cis_inter_intra
SGMS2	0.578	cis_inter
SGPL1	0.554	cis_inter
SGPP2	0.95	cis_intra
SGSH	0.804	cis_intra
SGSM1	0.483	cis_inter_intra
SGSM2	0.604	cis_inter_intra
SGSM3	0.902	cis
SGTA	0.349	cis
SGTB	0.605	cis_inter_intra
SH2B1	0.323	cis
SH2B3	0.803	cis_intra
SH2D1A	0.959	cis_intra
SH2D1B	1.149	cis
SH2D3A	1.026	cis
SH2D3C	0.586	cis
SH2D4A	1.416	cis_intra
SH2D4B	0.863	trans-intra
SH3BGR	1.001	cis_intra
SH3BGRL	1.172	cis_intra
SH3BGRL2	1.909	cis_intra
SH3BGRL3	1.059	cis
SH3BP1	0.54	cis_intra
SH3BP2	1.135	cis
SH3BP4	0.572	cis_intra
SH3BP5	0.591	cis
SH3BP5L	0.596	cis
SH3D19	0.611	trans-intra
SH3GL1	0.639	cis_intra
SH3GLB1	0.241	cis_intra
SH3GLB2	0.743	cis
SH3KBP1	0.194	inter_intra
SH3PXD2A	0.296	cis_inter_intra
SH3PXD2B	0.488	cis_intra
SH3RF1	0.505	cis_intra
SH3RF2	1.147	trans-intra
SH3RF3	0.527	cis_inter_intra
SH3TC1	1.276	cis
SH3TC2	0.813	cis_intra
SH3YL1	1.112	cis
SHANK3	0.123	trans-intra
SHARPIN	0.979	cis
SHB	0.322	cis_inter_intra
SHC1	0.648	cis
SHC2	1.329	cis_intra
SHCBP1	0.767	trans-intra
SHD	1.125	cis
SHF	0.548	cis_intra
SHISA4	1.198	cis
SHISA5	1.441	cis_inter
SHISA7	0.474	cis
SHKBP1	0.718	cis
SHMT1	1.362	cis_intra
SHOC2	0.138	cis_intra
SHOX2	0.831	cis
SHPK	1.084	cis_intra
SHPK	1.307	cis_intra
SHPRH	0.421	cis_intra
SHQ1	1.134	trans-intra
SHROOM1	0.541	cis
SHROOM4	0.226	cis_intra
SIAE	1.159	cis_intra
SIAH1	0.499	cis_inter_intra
SIAH2	0.586	cis
SIDT1	0.872	cis_intra
SIDT2	0.667	cis
SIGIRR	1.002	cis
SIGLEC1	1.23	trans-inter
SIGLEC10	0.644	cis
SIGLEC11	1.561	cis_intra
SIGLEC12	1.227	cis_inter
SIGLEC14	0.887	cis
SIGLEC15	1.87	cis
SIGLEC5	0.983	cis_intra
SIGLEC5	0.981	cis_intra
SIGLEC7	1.091	cis_intra
SIGLEC9	0.967	cis_intra
SIGMAR1	0.736	cis
SIK2	0.277	cis_inter_intra
SIK3	0.128	inter_intra
SIL1	0.636	inter_intra
SIMC1	0.913	cis
SIN3A	0.07	inter_intra
SIN3B	0.195	cis_intra
SIPA1	0.511	cis
SIPA1L1	0.167	cis_inter_intra
SIPA1L2	0.287	cis_inter_intra
SIPA1L3	0.2	cis_inter_intra
SIRPA	0.434	cis
SIRPB1	1.633	cis
SIRPB2	1.123	cis
SIRPD	1.886	cis
SIRPG	1.747	cis
SIRT1	0.503	cis
SIRT2	0.957	cis_intra
SIRT3	1.045	cis
SIRT4	1.773	cis
SIRT5	1.235	cis_intra
SIRT6	0.698	cis
SIRT7	0.857	trans-intra
SIVA1	0.952	cis_inter
SIX5	0.802	cis
SKA1	1.22	trans-intra
SKA2	1.896	cis
SKAP1	0.879	cis_inter_intra
SKAP2	0.67	cis_inter_intra
SKI	0.194	cis_inter_intra
SKIV2L	0.877	cis_intra
SKIV2L2	0.328	cis_inter_intra
SKOR1	0.736	cis
SKP1	0.698	cis
SKP2	0.333	cis
SLA	0.524	cis_intra
SLAIN1	0.375	cis_intra
SLAIN2	0.402	cis_intra
SLAMF1	0.799	cis
SLAMF6	0.679	cis_intra
SLAMF8	1.193	cis
SLAMF9	1.278	cis
SLC10A3	0.55	cis
SLC10A7	1	cis_inter_intra
SLC11A1	1.354	cis
SLC11A2	0.526	cis_intra
SLC12A1	0.824	cis_intra
SLC12A2	0.31	trans-intra
SLC12A4	0.679	cis
SLC12A6	0.395	cis_intra
SLC12A7	0.885	cis_intra
SLC12A8	1.225	trans-intra
SLC12A9	1.159	cis_inter
SLC13A4	0.37	cis_intra
SLC14A1	1.496	cis
SLC15A2	1.053	cis
SLC15A3	1.366	cis
SLC16A1	0.821	trans-intra
SLC16A10	0.537	cis_intra
SLC16A11	1.444	cis
SLC16A13	1.713	cis
SLC16A14	0.719	cis
SLC16A2	0.223	trans-intra
SLC16A3	1.17	cis
SLC16A4	1.053	cis
SLC16A5	1.522	cis_intra
SLC16A6	0.836	cis_intra
SLC16A7	0.827	cis_inter_intra
SLC16A8	1.28	cis
SLC17A5	1.044	cis_inter_intra
SLC17A9	1.389	cis
SLC18A2	0.511	trans-intra
SLC18B1	1.506	cis_intra
SLC19A1	1.164	cis_intra
SLC19A2	0.764	cis_intra
SLC1A2	0.424	cis_inter_intra
SLC1A3	0.281	cis_intra
SLC1A4	0.637	cis
SLC1A5	0.613	cis
SLC1A7	1.311	cis_intra
SLC20A1	0.484	cis
SLC20A2	0.326	cis_intra
SLC22A1	1.673	cis_intra
SLC22A13	1.376	cis
SLC22A14	1.26	trans-intra
SLC22A15	0.944	cis_intra
SLC22A16	1.846	cis_inter_intra
SLC22A17	0.584	cis
SLC22A18	1.164	cis_intra
SLC22A18AS	1.73	cis
SLC22A23	0.378	cis_inter_intra
SLC22A3	1.034	cis_intra
SLC22A31	1.811	cis
SLC22A4	0.978	cis
SLC22A5	1.358	cis_intra
SLC23A2	0.528	cis_inter_intra
SLC23A3	0.771	cis
SLC24A3	0.355	cis_inter_intra
SLC24A4	0.87	cis_inter_intra
SLC25A1	0.649	cis
SLC25A10	1.055	cis
SLC25A10	1.159	cis
SLC25A11	0.512	cis
SLC25A12	0.416	cis_intra
SLC25A13	1.237	cis_inter_intra
SLC25A16	1.048	cis_intra
SLC25A17	0.956	cis_inter
SLC25A19	0.524	cis
SLC25A20	1.167	trans-inter
SLC25A21	1.452	cis_inter_intra
SLC25A22	0.808	cis
SLC25A23	0.636	cis
SLC25A24	1.126	cis_intra
SLC25A25	0.584	cis_inter_intra
SLC25A26	1.236	cis_inter_intra
SLC25A27	0.717	cis_intra
SLC25A28	0.369	cis_intra
SLC25A29	1.159	cis
SLC25A3	0.623	cis_intra
SLC25A32	1.319	cis_intra
SLC25A33	0.825	cis
SLC25A34	1.345	cis
SLC25A35	1.375	cis
SLC25A36	0.718	cis
SLC25A37	0.633	cis_inter_intra
SLC25A39	1.222	cis
SLC25A40	1.035	trans-intra
SLC25A41	1.523	cis
SLC25A42	0.529	cis_inter_intra
SLC25A43	0.892	cis
SLC25A44	0.947	cis
SLC25A45	1.361	cis_inter
SLC25A46	0.906	cis_intra
SLC25A5	0.349	cis
SLC25A51	1.197	cis
SLC25A53	1.037	cis_intra
SLC25A6	0.779	cis_intra
SLC26A1	1.482	cis
SLC26A11	1.407	cis_intra
SLC26A6	0.914	cis
SLC26A8	0.835	cis_intra
SLC27A1	1.227	cis
SLC27A3	1.48	cis
SLC28A3	1.242	cis_inter_intra
SLC29A1	0.375	cis_intra
SLC29A3	1.322	cis
SLC2A1	0.241	trans-inter
SLC2A11	1.317	cis
SLC2A13	0.377	inter_intra
SLC2A14	0.604	cis
SLC2A5	1.191	cis_intra
SLC2A6	0.986	cis
SLC2A8	1.098	cis_intra
SLC2A9	1.141	cis_inter_intra
SLC30A1	0.234	trans-intra
SLC30A4	0.579	cis
SLC30A6	0.868	trans-intra
SLC30A7	1.023	cis_intra
SLC30A9	0.679	cis_intra
SLC31A1	0.989	cis
SLC31A2	1.797	cis
SLC33A1	0.807	cis_intra
SLC35A1	0.461	cis_intra
SLC35A3	0.795	trans-intra
SLC35A4	1.45	cis_intra
SLC35A5	1.153	cis
SLC35B3	1.395	cis
SLC35B4	0.963	cis_inter_intra
SLC35C1	0.975	cis
SLC35D1	0.784	cis
SLC35D2	1.596	trans-intra
SLC35E1	0.651	cis_intra
SLC35E2	1.656	cis
SLC35E2B	0.964	cis_inter_intra
SLC35E3	1.315	cis
SLC35E4	1.085	cis_intra
SLC35F2	0.965	cis_intra
SLC35F3	0.535	cis_inter_intra
SLC35F5	0.832	cis_intra
SLC35G1	0.744	cis_inter_intra
SLC35G2	0.851	cis_intra
SLC35G5	NA	cis
SLC36A1	0.901	cis_inter_intra
SLC36A4	1.592	trans-intra
SLC37A1	0.563	cis_inter_intra
SLC37A2	1.121	cis
SLC37A3	1.086	cis_inter_intra
SLC38A1	0.35	cis_inter_intra
SLC38A10	0.863	cis_inter_intra
SLC38A11	1.697	trans-intra
SLC38A6	1.456	cis_intra
SLC38A7	0.822	cis
SLC38A9	0.463	cis_inter_intra
SLC39A1	0.802	cis
SLC39A10	0.278	cis_intra
SLC39A11	1.876	cis_inter_intra
SLC39A13	0.799	cis
SLC39A3	1.173	cis
SLC39A4	0.704	cis
SLC39A5	1.2	cis
SLC39A6	0.8	cis
SLC39A7	0.613	cis
SLC39A8	0.465	cis_intra
SLC39A9	0.483	cis_intra
SLC3A2	0.906	trans-intra
SLC40A1	0.291	cis_intra
SLC41A1	0.438	cis_intra
SLC41A2	0.327	cis_intra
SLC41A3	1.286	cis_inter_intra
SLC43A1	0.751	cis_intra
SLC43A2	0.574	cis_intra
SLC44A1	0.265	cis_inter_intra
SLC44A2	0.559	cis_intra
SLC44A3	1.473	cis_intra
SLC44A4	0.907	cis
SLC45A4	0.713	cis_intra
SLC46A1	0.78	trans-intra
SLC46A2	1.63	cis
SLC46A3	1.179	trans-intra
SLC47A1	1.166	cis_inter_intra
SLC48A1	0.683	cis
SLC4A1	0.349	trans-intra
SLC4A10	0.375	inter_intra
SLC4A11	0.942	cis
SLC4A2	0.299	cis
SLC4A4	0.273	cis_inter_intra
SLC4A5	0.752	cis_inter_intra
SLC4A7	0.34	cis_intra
SLC4A8	0.266	cis_inter_intra
SLC4A9	1.114	cis
SLC51A	0.631	cis
SLC5A10	1.039	cis_inter_intra
SLC5A11	1.067	cis_intra
SLC5A3	0.324	cis
SLC5A3	0.324	cis
SLC5A9	1.359	trans-intra
SLC6A12	0.825	cis_intra
SLC6A13	0.978	cis_inter_intra
SLC6A16	1.088	cis_intra
SLC6A19	1.422	cis
SLC6A4	0.427	trans-intra
SLC6A6	0.291	cis_intra
SLC7A1	0.267	cis_intra
SLC7A10	0.774	cis
SLC7A11	0.761	trans-intra
SLC7A2	1.014	cis_intra
SLC7A5	0.514	cis_inter
SLC7A6	0.655	cis_intra
SLC7A6OS	0.614	cis
SLC7A7	0.959	cis
SLC7A8	0.994	cis_inter_intra
SLC7A9	1.121	cis
SLC8A1	0.271	inter_intra
SLC8B1	1.238	cis_intra
SLC9A1	0.375	cis
SLC9A3	0.31	cis_inter
SLC9A3R1	1.157	cis
SLC9A4	1.1	cis_intra
SLC9A5	0.691	trans-intra
SLC9A6	0.206	cis
SLC9A7	0.264	cis_inter_intra
SLC9A8	1.014	cis_intra
SLC9A9	0.955	cis_inter_intra
SLC9B1	1.005	trans-inter
SLC9B2	0.846	cis
SLCO2A1	1.053	inter_intra
SLCO2B1	0.667	trans-intra
SLCO3A1	0.442	cis_inter_intra
SLCO4A1	1	cis
SLCO4C1	0.838	cis_intra
SLFN11	1.562	cis
SLFN12	1.346	cis
SLFN12L	1.628	cis_intra
SLFN13	1.54	cis
SLFN14	0.918	cis
SLFN5	1.359	cis
SLIRP	1.907	cis_intra
SLIT1	0.222	cis_inter_intra
SLIT3	0.318	inter_intra
SLITRK4	0.422	cis
SLK	0.348	cis_inter
SLMAP	0.24	trans-intra
SLPI	1.609	cis
SLTM	0.274	inter_intra
SLU7	0.755	cis
SLX4	0.872	cis_intra
SLX4IP	1.491	cis_inter_intra
SMAD1	0.267	cis_intra
SMAD2	0.259	cis_intra
SMAD3	0.4	inter_intra
SMAD4	0.222	trans-intra
SMAD5	0.16	cis_intra
SMAD6	1.975	cis_inter
SMAD7	0.507	cis
SMAGP	1.324	cis_inter
SMAP1	0.264	cis_intra
SMAP2	0.553	trans-inter
SMARCA1	0.137	trans-intra
SMARCA2	0.203	cis_inter_intra
SMARCA4	0.055	cis_inter_intra
SMARCAD1	0.083	inter_intra
SMARCAL1	0.611	cis_intra
SMARCB1	0.22	cis_intra
SMARCC1	0.116	inter_intra
SMARCC2	0.117	cis
SMARCD1	0.206	cis
SMARCD2	0.625	cis
SMARCE1	0.191	cis
SMC2	0.235	cis_inter
SMC3	0.037	cis_intra
SMC4	0.482	cis_intra
SMC6	0.489	trans-intra
SMCHD1	0.153	cis_inter_intra
SMCO4	1.967	cis_intra
SMCR8	0.654	cis_intra
SMDT1	1.607	cis_intra
SMG1	0.053	cis_intra
SMG5	0.412	cis_intra
SMG6	0.299	cis_inter_intra
SMG7	0.219	cis_inter_intra
SMG8	0.471	cis
SMG9	1.098	cis_intra
SMIM1	1.82	cis
SMIM12	1.131	cis_inter_intra
SMIM13	1.57	trans-intra
SMIM14	0.576	cis_inter_intra
SMIM19	1.058	cis_inter
SMIM20	1.102	cis_intra
SMIM22	1.953	cis_intra
SMIM3	1.973	trans-intra
SMIM4	1.539	cis_inter
SMIM7	1.515	cis
SMIM8	1.879	cis_intra
SMNDC1	0.529	cis
SMO	0.684	cis
SMOC1	0.592	inter_intra
SMOC2	0.622	inter_intra
SMOX	0.467	cis_intra
SMPD2	1.583	cis
SMPD3	0.427	trans-inter
SMPD4	1.022	cis_intra
SMPDL3A	1.79	cis
SMPDL3B	1.274	cis
SMPX	0.951	trans-intra
SMS	0.305	cis
SMTN	0.607	inter_intra
SMTNL1	1.326	cis
SMTNL2	0.981	trans-intra
SMU1	0.108	cis
SMUG1	1.08	cis_inter
SMURF1	0.362	cis_inter_intra
SMURF2	0.334	inter_intra
SMYD2	0.847	cis_inter_intra
SMYD3	0.899	inter_intra
SMYD4	1.076	cis_inter
SMYD5	0.571	cis
SNAI3	1.144	cis
SNAP25	0.229	cis_intra
SNAP29	0.861	cis_intra
SNAP47	0.994	cis
SNAPC1	1.527	cis_intra
SNAPC3	1.02	cis_intra
SNAPC4	0.976	cis_inter
SNAPC5	1.893	cis
SNAPIN	1.437	cis
SNCA	0.429	cis_intra
SND1	0.301	cis_inter_intra
SNED1	0.332	cis_inter_intra
SNIP1	0.499	cis
SNN	1.753	cis
SNPH	0.309	cis_inter_intra
SNRK	0.132	inter_intra
SNRNP200	0.082	cis
SNRNP25	1.109	cis
SNRNP27	1.012	cis
SNRNP35	1.489	cis
SNRNP40	0.398	cis
SNRNP48	1.171	cis
SNRNP70	0.188	cis
SNRPA	1.388	cis
SNRPB	0.494	cis_inter
SNRPB2	0.803	cis_intra
SNRPC	0.555	cis
SNRPD1	0.564	trans-intra
SNRPD2	0.56	cis
SNRPD3	0.467	trans-intra
SNRPE	0.392	cis
SNRPF	0.571	cis_intra
SNRPN	0.834	cis_inter_intra
SNTA1	0.707	cis_inter
SNTB1	0.688	cis_inter_intra
SNTB2	0.765	cis_inter_intra
SNUPN	1.493	cis
SNW1	0.217	cis
SNX1	0.344	cis_inter_intra
SNX10	1.655	cis_intra
SNX11	1.109	cis_intra
SNX12	0.59	cis
SNX13	0.364	cis_intra
SNX14	0.827	trans-intra
SNX15	1.054	cis
SNX16	1.624	cis_intra
SNX18	0.334	cis
SNX19	0.857	cis_intra
SNX2	0.302	cis_intra
SNX20	1.552	cis
SNX21	1.447	cis
SNX22	1.093	cis
SNX24	1.323	cis_inter_intra
SNX25	0.518	cis_inter_intra
SNX27	0.192	cis
SNX29	0.741	cis_inter_intra
SNX3	0.837	trans-inter
SNX30	0.454	cis_inter_intra
SNX32	1.399	cis_inter
SNX33	0.611	cis
SNX4	0.799	cis
SNX5	0.661	cis
SNX6	0.423	cis
SNX7	0.917	cis_intra
SNX8	0.57	cis_intra
SNX9	0.369	cis_inter_intra
SOAT1	0.947	cis
SOAT2	1.48	cis
SOBP	0.127	cis_intra
SOCS1	1.068	cis
SOCS3	0.66	cis
SOCS5	0.466	cis
SOCS6	0.221	trans-intra
SOCS7	0.233	trans-intra
SOD1	0.978	cis
SOD2	0.753	trans-intra
SOD3	1.671	trans-intra
SOGA1	0.194	cis_inter_intra
SON	0.118	trans-inter
SORBS1	0.594	inter_intra
SORBS2	0.402	cis_inter_intra
SORBS3	0.802	cis_intra
SORCS2	0.428	cis_inter_intra
SORD	1.275	cis
SORL1	0.436	trans-intra
SORT1	0.212	trans-intra
SOS1	0.14	trans-intra
SOS2	0.256	cis_inter_intra
SOWAHC	0.772	cis
SOWAHD	1.257	cis
SOX12	0.471	trans-intra
SOX13	0.339	trans-intra
SOX6	0.215	inter_intra
SOX8	0.512	cis_inter
SP1	0.1	cis
SP100	0.679	trans-inter
SP110	0.945	cis_intra
SP140	0.586	cis_inter_intra
SP140L	0.795	cis
SP2	0.219	cis
SP3	0.146	cis
SP4	0.283	cis_intra
SPA17	1.395	cis_intra
SPAG1	0.761	cis_intra
SPAG16	1.708	cis_inter_intra
SPAG6	1.223	inter_intra
SPAG7	1	cis
SPAG8	1.252	cis
SPAG9	0.142	inter_intra
SPARC	0.393	cis
SPARCL1	0.967	trans-intra
SPAST	0.224	trans-intra
SPATA13	0.462	cis_inter_intra
SPATA2	0.292	cis
SPATA20	0.698	cis
SPATA24	0.964	cis_intra
SPATA25	1.454	cis
SPATA2L	0.847	cis
SPATA32	1.491	cis
SPATA33	1.927	cis
SPATA5	1.079	cis_intra
SPATA5L1	1.068	cis
SPATA6	1.47	inter_intra
SPATA6L	1.739	cis_inter_intra
SPATA7	1.149	trans-intra
SPATC1	1.246	cis
SPATC1L	1.805	cis
SPATS2	0.319	inter_intra
SPATS2L	0.434	cis_intra
SPC24	1.335	cis_intra
SPC25	0.757	inter_intra
SPCS1	1.128	cis
SPCS2	0.355	cis
SPDEF	0.308	cis
SPDL1	1.09	cis
SPDYC	1.045	cis
SPECC1	0.493	cis_inter_intra
SPECC1L	0.332	cis_inter_intra
SPEF2	0.717	cis_intra
SPEG	0.293	cis_intra
SPEN	0.071	cis_inter_intra
SPESP1	1.718	trans-intra
SPG11	0.812	trans-intra
SPG20	0.838	cis
SPG21	0.834	cis
SPG7	1.651	cis_inter_intra
SPHK1	1.408	cis
SPHK2	1.024	cis
SPIB	0.388	cis
SPIDR	1.085	inter_intra
SPIN1	0.274	trans-intra
SPIN2B	1.605	cis_intra
SPIN3	0.6	trans-intra
SPINK2	1.49	cis
SPINK5	0.93	trans-intra
SPINK8	1.839	cis_intra
SPINT1	0.818	cis
SPINT2	0.983	trans-intra
SPIRE1	0.455	cis_inter_intra
SPIRE2	0.861	cis_intra
SPNS1	0.596	cis
SPNS2	0.8	cis_inter_intra
SPNS3	1.251	cis_inter_intra
SPOCD1	0.806	cis
SPOCK1	0.392	cis_inter_intra
SPOCK2	0.475	cis
SPON2	1.893	cis_inter_intra
SPOP	0.144	cis_inter
SPOPL	0.577	trans-intra
SPP1	1.595	cis
SPPL2A	0.526	cis_intra
SPPL3	0.179	cis_intra
SPRED1	0.319	cis_intra
SPRED2	1.07	cis_intra
SPRED3	0.687	cis_intra
SPRN	1.887	cis
SPRR2D	1.929	trans-inter
SPRTN	0.304	cis
SPRY3	1.154	cis
SPRYD3	0.507	cis
SPRYD4	1.327	cis
SPRYD7	1.246	inter_intra
SPSB1	0.594	cis_inter_intra
SPSB2	1.001	cis
SPSB3	0.709	cis
SPTA1	0.491	cis_intra
SPTAN1	0.101	inter_intra
SPTB	0.14	cis_inter_intra
SPTBN1	0.088	cis_intra
SPTBN2	0.357	trans-inter
SPTBN4	0.191	trans-intra
SPTBN5	1.062	cis
SPTLC1	0.978	cis_intra
SPTLC2	0.39	cis_intra
SPTSSA	0.888	cis
SQLE	0.314	trans-intra
SQRDL	1.18	cis_intra
SQSTM1	0.802	cis_intra
SRA1	1.434	cis_intra
SRBD1	0.977	cis_inter_intra
SRC	0.244	trans-intra
SRCAP	0.096	trans-inter
SRD5A1	1.289	cis_intra
SRD5A3	0.973	cis_intra
SREBF1	0.45	cis
SREBF2	0.382	cis_inter
SREK1	0.351	trans-intra
SREK1IP1	0.686	trans-intra
SRFBP1	1.258	trans-intra
SRGAP1	0.267	trans-intra
SRGAP2	0.312	inter_intra
SRGAP3	0.243	inter_intra
SRGN	0.763	cis
SRI	1.462	cis
SRL	1.211	cis_inter
SRP14	0.441	cis
SRP19	1.001	cis
SRP54	0.219	cis
SRP68	0.452	cis_inter_intra
SRP72	0.494	cis
SRP9	0.904	cis
SRPK1	0.598	cis_inter_intra
SRPK2	0.269	cis_inter_intra
SRPK3	0.495	cis
SRPRB	0.827	trans-intra
SRPX	0.774	cis
SRR	0.828	cis
SRRM1	0.146	cis_inter_intra
SRRM5	NA	cis
SRRT	0.364	cis_inter
SRSF10	1.642	cis
SRSF11	0.233	trans-intra
SRSF12	0.72	cis
SRSF3	0.291	cis
SRSF5	0.457	cis_inter_intra
SRXN1	1.491	cis_intra
SS18	0.383	cis
SS18L1	0.306	cis
SS18L2	1.598	cis
SSB	0.543	cis
SSBP1	0.904	cis_intra
SSBP2	0.236	cis_inter_intra
SSBP3	0.198	inter_intra
SSBP3-AS1	NA	cis
SSBP4	0.445	cis_intra
SSC5D	1.111	cis_intra
SSFA2	0.545	cis_intra
SSH1	0.523	cis
SSH2	0.278	cis_inter_intra
SSH3	1.018	cis
SSNA1	1.834	cis
SSPN	1.174	cis_inter_intra
SSR1	0.553	cis_intra
SSR3	0.534	cis
SSR4	0.441	cis
SSTR3	1.424	cis_intra
SSU72	0.508	cis_inter
SSX2IP	0.794	cis_intra
ST13	0.414	cis_intra
ST14	0.375	cis_intra
ST20	1.764	cis_inter
ST3GAL1	0.495	cis_inter_intra
ST3GAL2	0.354	inter_intra
ST3GAL3	0.621	cis_inter_intra
ST3GAL4	0.607	cis
ST3GAL5	0.756	cis
ST3GAL6	1.195	cis_inter
ST5	0.214	cis_inter_intra
ST6GAL1	0.571	cis_inter_intra
ST6GALNAC1	1.125	cis
ST6GALNAC2	1.678	cis
ST6GALNAC3	0.964	cis_inter_intra
ST6GALNAC4	1.387	cis
ST6GALNAC6	0.815	cis
ST7	0.264	inter_intra
ST7L	0.868	cis_inter
ST8SIA1	0.527	cis_inter_intra
ST8SIA4	0.901	cis_intra
ST8SIA6	1.567	cis_intra
STAB1	0.805	cis
STAB2	0.882	cis_intra
STAC	1.012	cis_inter_intra
STAC3	0.754	cis
STAG1	0.119	cis_intra
STAG2	0.09	inter_intra
STAG3	0.606	cis
STAM	0.372	trans-intra
STAM2	0.733	cis
STAMBP	0.764	cis_intra
STAMBPL1	1.269	cis_intra
STAP1	1.021	cis
STAP2	1.432	cis
STARD10	0.966	cis_intra
STARD13	0.641	inter_intra
STARD3	0.666	cis
STARD3NL	0.856	cis_intra
STARD4	1.822	cis_intra
STARD5	1.226	cis
STARD8	0.5	cis
STARD9	0.631	cis_inter_intra
STAT3	0.095	trans-intra
STAT4	0.347	inter_intra
STAT5A	0.202	trans-inter
STAT5B	0.22	cis
STAT6	0.296	cis
STAU1	0.168	cis_inter_intra
STAU2	0.318	inter_intra
STC1	0.695	cis_intra
STEAP1B	1.277	trans-intra
STEAP3	1.344	cis_intra
STEAP4	1.031	cis_intra
STIL	0.383	cis_intra
STIM1	0.378	cis_inter_intra
STIM2	0.293	cis_intra
STIP1	0.201	inter_intra
STK10	0.794	cis_intra
STK11	0.245	cis
STK11IP	0.857	cis
STK17A	0.606	cis
STK17B	0.715	cis_intra
STK19	1.181	cis_intra
STK24	0.58	cis
STK3	0.871	inter_intra
STK32B	0.998	cis_inter_intra
STK32C	0.486	cis_inter
STK33	0.859	cis_inter_intra
STK35	0.532	cis
STK38	0.641	cis_intra
STK38L	0.348	cis_intra
STK39	0.23	cis_inter_intra
STK4	0.524	cis_inter_intra
STK40	0.227	cis
STMN1	0.944	trans-intra
STMN2	0.259	cis
STMN3	0.911	cis
STOML1	1.567	cis
STOML2	0.696	cis
STON1	1.121	cis_intra
STON2	0.68	cis_inter_intra
STOX1	1.124	cis_inter_intra
STPG1	1.339	cis_inter_intra
